,Unnamed: 0,Growth Temp (Celsius),Metal_mmol (mmol),Chalcogen_mmol (mmol),CA_mmol (mmol),Amines_mmol (mmol),Phosphines_mmol (mmol),S_I_amount (g),S_II_amount (g),Time_min (min),x0_cadmium acetate,x0_cadmium acetate dihydrate,x0_cadmium oxide,x0_cadmium stearate,x0_dimethylcadmium,x1_None,x1_benzoic acid,x1_dodecylphosphonic acid,x1_ethylphosphonic acid,x1_lauric acid,x1_myrstic acid,x1_oleic acid,x1_stearic acid,x2_2-6-dimethylpyridine,x2_None,x2_aniline,x2_benzylamine,x2_dioctylamine/hexadecylamine,x2_dodecylamine,x2_heptylamine,x2_hexadecylamine,x2_octadecylamine,x2_octylamine,x2_oleylamine,x2_pyridine,x2_trioctylamine,x3_None,x3_diphenylphosphine,x3_tributylphosphine,x3_trioctylphosphine,x3_triphenylphosphine,x4_None,x4_liquid parafin,x4_octadecene,x4_phenyl ether,x4_trioctylphosphine oxide,x5_None,x5_phosphinic acid,x5_trioctylphosphine oxide,diameter_nm,abs_nm,emission_nm,
0,0,1.102480341,-0.4387818,-0.245226754,-0.525726463,-0.417578052,-0.166760388,-0.124144708,-0.302794283,-0.226628754,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.41,566,575,9
1,1,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.45273826,-0.527397959,-0.302794283,-0.235995363,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.99,440.7843616,497,56.21563837
2,2,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.446392598,-0.527397959,-0.302794283,-0.235995363,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.13,461.0243616,510,48.97563837
3,3,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.446392598,-0.527397959,-0.302794283,-0.234954629,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.27,500.0361905,517,16.96380952
4,4,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.446392598,-0.527397959,-0.302794283,-0.23287316,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.53,500.0361905,522,21.96380952
12,12,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.401972958,-0.527397959,-0.302794283,-0.23287316,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.43,576.4620635,582,5.537936508
13,13,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.401972958,-0.527397959,-0.302794283,-0.226628754,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4.07,581.6003571,593,11.39964286
18,18,0.403387122,-0.373263042,-0.551908026,0.128152379,-0.49946256,-0.265752729,-0.68147074,-0.302794283,-0.236682248,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2.6,526,556,30
19,19,0.403387122,-0.373263042,-0.551908026,0.128152379,-0.49946256,-0.265752729,-0.68147074,-0.302794283,-0.236328398,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.2,559,580,21
20,20,0.403387122,-0.373263042,-0.551908026,0.128152379,-0.49946256,-0.265752729,-0.68147074,-0.302794283,-0.235620699,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.6,574,598,24
21,21,0.403387122,-0.373263042,-0.551908026,0.128152379,-0.49946256,-0.265752729,-0.68147074,-0.302794283,-0.234954629,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.9,582,601,19
22,22,0.481064146,0.378478495,0.693126393,6.062738269,-0.49946256,0.117525307,-0.68147074,-0.302794283,-0.236099436,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.23,556,562,6
23,23,0.481064146,0.378478495,0.693126393,6.062738269,-0.49946256,0.117525307,-0.68147074,-0.302794283,-0.235329293,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.61,570,577,7
24,24,0.481064146,0.378478495,0.693126393,6.062738269,-0.49946256,0.117525307,-0.68147074,-0.302794283,-0.234600779,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.86,574,588,14
25,25,0.481064146,0.378478495,0.693126393,6.062738269,-0.49946256,0.117525307,-0.68147074,-0.302794283,-0.221425082,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4.74,605,624,19
27,27,0.791772243,-0.283605795,-0.31388674,-0.158352838,4.21474557,0.734323736,-0.133619251,-0.302794283,-0.234954629,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3.7,577,600,23
28,28,0.791772243,-0.283605795,-0.31388674,-0.158352838,4.21474557,0.734323736,-0.133619251,-0.302794283,-0.235662328,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2.9,543,577,34
29,29,0.791772243,-0.283605795,-0.31388674,-0.158352838,4.21474557,0.734323736,-0.133619251,-0.302794283,-0.236349213,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2.69,530,547,17
31,31,0.015002,-0.4387818,0.304053137,-0.456410685,-0.429158861,-0.072844578,-0.241740501,-0.302794283,-0.236862711,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.22,473,488,15
32,32,-0.295706097,-0.4387818,0.304053137,-0.456410685,-0.429158861,-0.072844578,-0.241740501,-0.302794283,-0.236862711,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1.9,459,477,18
33,33,-0.606414194,-0.4387818,0.304053137,-0.456410685,-0.429158861,-0.072844578,-0.241740501,-0.302794283,-0.236862711,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1.8,440,459,19
34,34,-0.917122291,-0.4387818,0.304053137,-0.456410685,-0.429158861,-0.072844578,-0.241740501,-0.302794283,-0.236862711,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1.6,427,454,27
35,35,0.170356049,4.095805915,3.910991088,-0.525726463,-0.49946256,4.293817547,0.476652754,-0.302794283,-0.226628754,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1.2,412,531.5,119.5
36,36,0.170356049,4.095805915,3.910991088,-0.525726463,-0.49946256,4.293817547,0.476652754,-0.302794283,-0.225588019,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1.6,461,531.5,70.5
37,37,0.170356049,4.095805915,3.910991088,-0.525726463,-0.49946256,4.293817547,0.476652754,-0.302794283,-0.224547285,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1.9,482,531.5,49.5
38,38,0.170356049,4.095805915,3.910991088,-0.525726463,-0.49946256,4.293817547,0.476652754,-0.302794283,-0.223506551,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2.3,519,539.75,20.75
46,46,0.015002,0.181922222,0.294898472,-0.456410685,-0.460859864,-0.072844578,-0.241740501,-0.302794283,-0.23686958,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.13,480,509.25,29.25
47,47,0.015002,0.181922222,0.294898472,-0.456410685,-0.460859864,-0.072844578,-0.241740501,-0.302794283,-0.235995363,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.31,500,535.5,35.5
51,51,1.102480341,-0.042220897,-0.158257438,-0.525726463,1.922840704,-0.263214463,0.107702921,-0.302794283,-0.199569661,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3.9,520,535,15
52,52,1.102480341,-0.042220897,-0.158257438,-0.525726463,1.922840704,-0.263214463,0.107702921,-0.302794283,-0.132962662,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4.07,548,558,10
53,53,1.102480341,-0.042220897,-0.158257438,-0.525726463,1.922840704,-0.263214463,0.107702921,-0.302794283,-0.028889227,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4.19,570,580,10
54,54,1.102480341,-0.042220897,-0.158257438,-0.525726463,1.922840704,-0.263214463,0.107702921,-0.302794283,0.075184209,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4.3,580,590,10
56,56,1.102480341,-0.042220897,-0.158257438,-0.525726463,1.922840704,-0.263214463,0.107702921,-0.302794283,0.237538768,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4.9,630,640,10
57,57,1.102480341,-0.042220897,-0.158257438,-0.525726463,1.922840704,-0.263214463,0.107702921,-0.302794283,0.283331079,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5.05,640,650,10
58,58,0.325710098,-0.404298243,-0.474093375,-0.525726463,1.687096886,0.461037189,-0.402807724,-0.302794283,-0.236688492,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.92,460,470,10
59,59,0.325710098,-0.404298243,-0.474093375,-0.525726463,1.687096886,0.461037189,-0.402807724,-0.302794283,-0.226628754,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2.87,540,550,10
60,60,0.325710098,-0.404298243,-0.474093375,-0.525726463,1.687096886,0.461037189,-0.402807724,-0.302794283,-0.205814067,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3.02,550,565,15
61,61,0.325710098,-0.404298243,-0.474093375,-0.525726463,1.687096886,0.461037189,-0.402807724,-0.302794283,-0.174592036,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3.15,555,570,15
62,62,0.325710098,-0.404298243,-0.474093375,-0.525726463,1.687096886,0.461037189,-0.402807724,-0.302794283,-0.112147975,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3.38,565,575,10
64,64,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.236973653,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.3,410,435,25
65,65,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.23686958,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.7,435,455,20
66,66,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.236682248,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2.1,470,480,10
67,67,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.236349213,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2.5,490,515,25
68,68,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.235995363,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2.8,508,525,17
69,69,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.235641513,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2.9,512,528,16
70,70,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.235308478,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3.1,520,530,10
71,71,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.234954629,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3.3,523,535,12
72,72,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.230791691,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3.8,535,550,15
73,73,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.226628754,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4.2,560,570,10
75,75,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.153777349,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4.7,587,595,8
76,76,-0.917122291,-0.314640996,-0.529021364,-0.159508101,-0.49946256,-0.415510372,0.153403655,-0.302794283,-0.230791691,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2.1208,475,507,32
77,77,-0.917122291,-0.314640996,-0.529021364,-0.159508101,-0.49946256,-0.415510372,0.153403655,-0.302794283,-0.222465816,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2.25,490,542,52
78,78,-0.917122291,-0.314640996,-0.529021364,-0.159508101,-0.49946256,-0.415510372,0.153403655,-0.302794283,-0.203732598,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2.299,495,525,30
79,79,-0.917122291,-0.314640996,-0.529021364,-0.159508101,-0.49946256,-0.415510372,0.153403655,-0.302794283,-0.187080848,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2.4065,505,530,25
80,80,-0.917122291,-0.314640996,-0.529021364,-0.159508101,-0.49946256,-0.415510372,0.153403655,-0.302794283,-0.162103224,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2.4527,510,535,25
