,Unnamed: 0,Unnamed: 0.1,in_amount_mmol,p_amount_mmol,sol_amount_ml,TOP_amount_mmol,acid_amount_mmol,amine_amount_mmol,thiol_amount_mmol,zinc_amount_mmol,other_amount_mmol,total_volume_ml,temp_c,time_min,x0_chloroindium oxalate,x0_indium acetate,x0_indium bromide,x0_indium chloride,x0_indium iodide,x0_indium myristate,x0_indium oxalate,x0_indium palmitate,x0_indium trifluoroacetate,"x0_indium tris(N,N-diisopropylacetamidinato)",x1_bis(trimethylsilyl)phosphine,x1_phosphine gas,x1_phosphorus trichloride,x1_sodium phosphide,x1_tris(diethylamino)phosphine,x1_tris(dimethylamino)phosphine,x1_tris(trimethylgermyl)phosphine,x1_tris(trimethylsilyl)phosphine,x1_white phosphorus,x2_4-ethylpyridine,x2_None,x2_dimethylformamide,x2_mesitylene,x2_octadecene,x2_toluene,x3_None,x3_trioctylphosphine,x4_None,x4_lauric acid,x4_myristic acid,x4_oleic acid,x4_palmitic acid,x4_stearic acid,x5_None,x5_dioctylamine,x5_dodecylamine,x5_hexadecylamine,x5_octylamine,x5_oleylamine,x6_None,x6_dodecanethiol,x7_None,x7_zinc acetate,x7_zinc bromide,x7_zinc chloride,x7_zinc iodide,x7_zinc octanoate,x7_zinc oleate,x7_zinc stearate,x7_zinc undecylenate,x8_None,x8_acetic acid,x8_copper bromide,x8_oleic acid,x8_superhydride,x8_tetrabutylammonium myristate,x8_trioctylamine,x8_trioctylphosphine oxide,x8_water,x8_zinc iodide,diameter_nm,abs_nm,emission_nm,
0,0,0,2.798292886,0.769562787,-0.528015198,1.951881111,-0.431076632,-0.641826903,-0.197117053,-0.629015021,8.009708158,0.412626349,1.175039865,3.449768678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,599,612,13
1,1,1,0.055435832,-0.361431827,-0.528015198,1.958217168,-0.431076632,-0.641826903,-0.197117053,-0.629015021,3.87305151,0.063283859,0.975942201,3.449768678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.6,530,613,83
2,2,2,0.782458183,0.017998624,-0.528015198,0.600490514,-0.431076632,-0.641826903,-0.197117053,-0.629015021,-0.098138874,-0.500810603,0.975942201,3.449768678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.5,595,610,15
4,4,4,0.055435832,0.280681244,-0.528015198,1.958217168,-0.431076632,-0.641826903,-0.197117053,-0.629015021,3.87305151,0.063283859,0.975942201,3.449768678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.52,520,612,92
5,5,5,0.055435832,0.280681244,-0.528015198,1.958217168,-0.431076632,-0.641826903,-0.197117053,-0.629015021,3.87305151,0.063283859,0.975942201,7.207881521,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.66,590,612,22
6,6,6,0.195883331,0.280681244,-0.528015198,-0.30466059,-0.431076632,-0.641826903,-0.197117053,-0.629015021,-0.098138874,-0.652556049,0.975942201,3.449768678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.61,610,635,25
7,7,7,-0.258505638,-0.376025306,1.691836289,-0.30466059,0.144142814,-0.641826903,-0.197117053,-0.629015021,1.970189451,1.534571383,0.577746873,-0.099560119,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.5,562,618,56
8,8,8,-0.258505638,-0.376025306,1.691836289,-0.30466059,0.144142814,-0.641826903,-0.197117053,-0.629015021,1.970189451,1.534571383,-0.218643781,-0.256148154,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,None,473,558,85
9,9,9,-0.258505638,-0.376025306,1.691836289,-0.30466059,0.144142814,-0.641826903,-0.197117053,-0.629015021,1.970189451,1.534571383,0.179551546,-0.256148154,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,None,524,567.6666667,43.66666667
10,10,10,-0.258505638,-0.376025306,1.691836289,-0.30466059,0.144142814,-0.641826903,-0.197117053,-0.629015021,1.970189451,1.534571383,0.577746873,-0.256148154,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,None,538,591.3333333,53.33333333
11,11,11,-0.258505638,-0.376025306,1.691836289,-0.30466059,0.144142814,-0.641826903,-0.197117053,-0.629015021,1.970189451,1.534571383,0.975942201,-0.256148154,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,None,576,608.6666667,32.66666667
12,12,12,-0.258505638,-0.376025306,1.691836289,-0.30466059,0.144142814,-0.641826903,-0.197117053,-0.629015021,1.970189451,1.534571383,1.374137528,-0.256148154,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,None,578,608.6666667,30.66666667
13,13,13,-0.341121815,-0.59492749,-0.103631826,-0.30466059,0.22083874,-0.429942678,-0.197117053,-0.629015021,-0.263605139,-0.240774661,-0.815936773,-0.29964483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.7,580,588,8
14,14,14,-0.341121815,-0.59492749,-0.103631826,-0.30466059,0.22083874,-0.429942678,-0.197117053,-0.629015021,-0.263605139,-0.240774661,-0.815936773,-0.307474232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,492,576.6666667,84.66666667
15,15,15,-0.341121815,-0.59492749,-0.103631826,-0.30466059,0.22083874,-0.429942678,-0.197117053,-0.629015021,-0.263605139,-0.240774661,-1.413229764,-0.307474232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,397,569.3333333,172.3333333
16,16,16,-0.341121815,-0.59492749,-0.103631826,-0.30466059,0.22083874,-0.429942678,-0.197117053,-0.629015021,-0.263605139,-0.240774661,-1.413229764,-0.29964483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,462,569.3333333,107.3333333
17,17,17,-0.341121815,-0.59492749,-0.103631826,-0.30466059,0.22083874,-0.429942678,-0.197117053,-0.629015021,-0.263605139,-0.240774661,-1.413229764,-0.28224616,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,500,576.3333333,76.33333333
18,18,18,-0.341121815,-0.59492749,-0.103631826,-0.30466059,0.22083874,-0.429942678,-0.197117053,-0.629015021,-0.263605139,-0.240774661,-0.815936773,-0.203952142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,626,680,54
19,19,19,-0.341121815,-0.59492749,-0.103631826,-0.30466059,0.22083874,-0.429942678,-0.197117053,-0.629015021,-0.263605139,-0.240774661,-1.413229764,-0.203952142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,574,598,24
20,20,20,0.154575243,-0.011188334,-0.462725449,-0.30466059,-0.431076632,-0.641826903,5.132344018,0.962232404,-0.263605139,-0.595982622,-0.815936773,-0.256148154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,466.3333333,500,33.66666667
21,21,21,0.154575243,-0.011188334,-0.462725449,-0.30466059,-0.431076632,-0.641826903,5.132344018,0.962232404,-0.263605139,-0.595982622,-0.815936773,-0.203952142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,466.3333333,520,53.66666667
22,22,22,0.154575243,-0.011188334,-0.462725449,-0.30466059,-0.431076632,-0.641826903,5.132344018,0.962232404,-0.263605139,-0.595982622,-0.815936773,-0.099560119,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,466.3333333,538,71.66666667
23,23,23,0.154575243,-0.011188334,-0.462725449,-0.30466059,-0.431076632,-0.641826903,5.132344018,0.962232404,-0.263605139,-0.595982622,-0.417741445,-0.243099151,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,466.3333333,540,73.66666667
24,24,24,0.154575243,-0.011188334,-0.462725449,-0.30466059,-0.431076632,-0.641826903,5.132344018,0.962232404,-0.263605139,-0.595982622,1.175039865,-0.28224616,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,466.3333333,590,123.6666667
25,25,25,0.154575243,-0.011188334,-0.462725449,-0.30466059,-0.431076632,-0.641826903,5.132344018,0.962232404,-0.263605139,-0.595982622,1.175039865,-0.203952142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,466.3333333,600,133.6666667
26,26,26,0.154575243,-0.011188334,-0.462725449,-0.30466059,-0.431076632,-0.641826903,5.132344018,0.962232404,-0.263605139,-0.595982622,0.179551546,-0.28224616,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,466.3333333,560,93.66666667
27,27,27,1.80689877,0.353648639,2.410023535,0.82361026,3.020240045,-0.641826903,-0.197117053,-0.629015021,-0.263605139,2.360720014,0.776844537,-0.256148154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.4,514.3333333,577,62.66666667
28,28,28,-0.588970344,1.448159556,-0.397435699,-0.30466059,-0.316032743,-0.641826903,-0.197117053,-0.629015021,-0.263605139,-0.540481378,-0.417741445,-0.295295163,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.5,601,609.3333333,8.333333333
29,29,29,-0.588970344,1.448159556,-0.397435699,-0.30466059,-0.316032743,-0.641826903,-0.197117053,-0.629015021,-0.263605139,-0.540481378,0.776844537,-0.295295163,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.3,620,646,26
30,30,30,-0.588970344,-0.667894884,-0.087309388,-0.30466059,-0.082110168,-0.641826903,-0.197117053,-0.549452649,-0.263605139,-0.2409008,1.573235192,-0.29964483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,None,455,507,52
31,31,31,-0.588970344,-0.667894884,-0.087309388,-0.30466059,-0.328304091,-0.641826903,-0.197117053,-0.549452649,-0.263605139,-0.2409008,1.573235192,-0.29964483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,None,460,518,58
32,32,32,-0.588970344,-0.667894884,-0.087309388,-0.30466059,-0.320634499,-0.641826903,-0.197117053,-0.549452649,-0.263605139,-0.2409008,1.573235192,-0.29964483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,None,457,522,65
33,33,33,-0.588970344,-0.667894884,-0.087309388,-0.30466059,-0.312964906,-0.641826903,-0.197117053,-0.549452649,-0.263605139,-0.2409008,1.573235192,-0.29964483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,None,456,525,69
34,34,34,-0.588970344,-0.667894884,-0.087309388,-0.30466059,-0.335973684,-0.641826903,-0.197117053,-0.549452649,-0.263605139,-0.2409008,1.573235192,-0.29964483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,None,470,530,60
35,35,35,-0.506354167,-0.667894884,0.124882298,-0.30466059,-0.200988854,-0.641826903,-0.197117053,-0.629015021,-0.263605139,-0.035924614,1.573235192,-0.290945495,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,525,558,33
36,36,36,-0.547662256,-0.667894884,0.124882298,0.071429693,-0.258510798,-0.641826903,-0.197117053,-0.629015021,-0.263605139,0.027144981,1.672784024,-0.306604298,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.8,472,592.3333333,120.3333333
37,37,37,-0.547662256,-0.667894884,0.124882298,0.071429693,-0.258510798,-0.641826903,-0.197117053,-0.629015021,-0.263605139,0.027144981,1.672784024,-0.295295163,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,486,592.3333333,106.3333333
38,38,38,-0.547662256,-0.667894884,0.124882298,0.071429693,-0.258510798,-0.641826903,-0.197117053,-0.629015021,-0.263605139,0.027144981,1.672784024,-0.15175613,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,499,592.3333333,93.33333333
39,39,39,2.633060533,0.718485611,0.581910545,-0.30466059,5.129378015,-0.641826903,-0.197117053,-0.629015021,-0.263605139,0.405562554,1.274588696,-0.290945495,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.4,530,579,49
40,40,40,2.633060533,0.718485611,0.134022863,-0.30466059,5.129378015,-0.641826903,-0.197117053,-0.629015021,-0.263605139,0.279423363,1.672784024,-0.290945495,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.1,555,595,40
41,41,41,-0.175889462,-0.448992701,0.124882298,0.071429693,0.259186703,-0.641826903,-0.197117053,0.325733434,1.523430533,0.027144981,0.37864921,-0.256148154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,430,477,47
42,42,42,-0.390691521,-0.573037271,0.059592548,-0.30466059,-0.047597001,-0.641826903,-0.197117053,-0.629015021,-0.263605139,-0.09899421,1.772332856,-0.29964483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.2,530.6666667,568.3333333,37.66666667
43,43,43,0.319807596,-0.297950194,0.255461797,-0.30466059,0.949450039,-0.641826903,-0.197117053,-0.629015021,-0.263605139,0.090214577,0.179551546,-0.295295163,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,498,542,44
44,44,44,0.319807596,-0.297950194,0.255461797,-0.30466059,0.949450039,-0.641826903,-0.197117053,-0.629015021,-0.263605139,0.090214577,0.179551546,-0.303994498,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,502,548,46
45,45,45,0.319807596,-0.297950194,0.255461797,-0.30466059,0.949450039,-0.641826903,-0.197117053,-0.629015021,-0.263605139,0.090214577,0.179551546,-0.303994498,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,512,554,42
46,46,46,0.319807596,-0.297950194,0.255461797,-0.30466059,0.949450039,-0.641826903,-0.197117053,-0.629015021,-0.263605139,0.090214577,0.179551546,-0.295295163,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,512,558,46
47,47,47,-0.506354167,-0.667894884,0.124882298,-0.116615448,-0.200988854,-0.641826903,-0.197117053,-0.629015021,-0.263605139,-0.004389817,1.175039865,-0.290945495,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.5,580,615,35
48,48,48,-0.506354167,-0.667894884,0.124882298,-0.116615448,-0.200988854,-0.641826903,-0.197117053,-0.629015021,-0.263605139,-0.004389817,1.175039865,-0.290945495,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.26,584,615,31
49,49,49,-0.588970344,-0.667894884,0.124882298,-0.30466059,-0.316032743,-0.641826903,-0.197117053,-0.525583938,-0.263605139,-0.035924614,1.573235192,-0.29964483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,None,460,480,20
50,50,50,-0.341121815,-0.59492749,-0.031813101,-0.30466059,0.124968832,-0.641826903,-0.197117053,-0.629015021,-0.263605139,-0.187291644,1.274588696,-0.301384697,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,537,590.6666667,53.66666667
51,51,51,-0.341121815,-0.59492749,-0.031813101,-0.30466059,0.124968832,-0.641826903,-0.197117053,-0.629015021,-0.263605139,-0.187291644,1.274588696,-0.301384697,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,537,577.6666667,40.66666667
