,in_amount_mmol,p_amount_mmol,sol_amount_ml,TOP_amount_mmol,acid_amount_mmol,amine_amount_mmol,thiol_amount_mmol,zinc_amount_mmol,other_amount_mmol,total_volume_ml,temp_c,time_min,x0_chloroindium oxalate,x0_indium acetate,x0_indium bromide,x0_indium chloride,x0_indium iodide,x0_indium myristate,x0_indium oxalate,x0_indium palmitate,x0_indium trifluoroacetate,"x0_indium tris(N,N-diisopropylacetamidinato)",x1_bis(trimethylsilyl)phosphine,x1_phosphine gas,x1_phosphorus trichloride,x1_sodium phosphide,x1_tris(diethylamino)phosphine,x1_tris(dimethylamino)phosphine,x1_tris(trimethylgermyl)phosphine,x1_tris(trimethylsilyl)phosphine,x1_white phosphorus,x2_4-ethylpyridine,x2_None,x2_dimethylformamide,x2_mesitylene,x2_octadecene,x2_toluene,x3_None,x3_trioctylphosphine,x4_None,x4_lauric acid,x4_myristic acid,x4_oleic acid,x4_palmitic acid,x4_stearic acid,x5_None,x5_dioctylamine,x5_dodecylamine,x5_hexadecylamine,x5_octylamine,x5_oleylamine,x6_None,x6_dodecanethiol,x7_None,x7_zinc acetate,x7_zinc bromide,x7_zinc chloride,x7_zinc iodide,x7_zinc octanoate,x7_zinc oleate,x7_zinc stearate,x7_zinc undecylenate,x8_None,x8_acetic acid,x8_copper bromide,x8_oleic acid,x8_superhydride,x8_tetrabutylammonium myristate,x8_trioctylamine,x8_trioctylphosphine oxide,x8_water,x8_zinc iodide,diameter_nm,abs_nm,emission_nm
110,-0.341121815,-0.448992701,-0.33214595,-0.30466059,-0.431076632,-0.432730628,-0.197117053,-0.629015021,-0.263605139,-0.446255403,-0.855756305,-0.304864431,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.5,445,568
193,-0.299813727,-0.011188334,-0.528015198,-0.30466059,-0.431076632,-0.126056092,-0.197117053,0.246171063,-0.263605139,-0.589801802,-0.815936773,-0.305734365,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.7,480,None
169,-0.423737991,-0.682488363,-0.528015198,-0.30466059,-0.431076632,1.477015348,-0.197117053,1.121357146,0.629912697,-0.351146453,-0.815936773,-0.295295163,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.75,481,None
36,-0.547662256,-0.667894884,0.124882298,0.071429693,-0.258510798,-0.641826903,-0.197117053,-0.629015021,-0.263605139,0.027144981,1.672784024,-0.306604298,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.8,472,None
163,-0.423737991,-0.521960095,0.059592548,-0.30466059,-0.300693558,-0.555400443,-0.197117053,-0.390327907,-0.263605139,-0.086128012,-0.218643781,-0.290945495,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.95,595,620
41,-0.175889462,-0.448992701,0.124882298,0.071429693,0.259186703,-0.641826903,-0.197117053,0.325733434,1.523430533,0.027144981,0.37864921,-0.256148154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,430,477
99,-0.175889462,-0.448992701,0.124882298,0.071429693,0.259186703,-0.641826903,-0.197117053,0.325733434,-0.263605139,0.027144981,0.37864921,-0.256148154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,430,477
160,-0.299813727,0.667408435,-0.528015198,-0.30466059,-0.431076632,1.477015348,-0.197117053,1.121357146,0.071464049,-0.351146453,-0.417741445,-0.256148154,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,420,None
217,-0.423737991,-0.631411187,-0.20156645,-0.30466059,-0.085944965,-0.600007648,-0.197117053,-0.629015021,-0.263605139,-0.346416233,-1.413229764,0.78777208,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,523,None
100,-0.605493579,-0.682488363,-0.070986951,-0.30466059,-0.331371928,-0.588855847,-0.197117053,-0.629015021,-0.263605139,-0.221160016,-0.417741445,-0.28224616,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.1,460,590
143,0.071959067,0.280681244,-0.528015198,-0.30466059,-0.431076632,1.477015348,-0.197117053,0.08704632,-0.263605139,-0.351146453,-0.019546118,-0.307909199,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.1,None,None
117,0.815504654,2.061085669,-0.528015198,0.184256779,-0.431076632,1.030943295,-0.197117053,2.871729313,-0.263605139,-0.335568263,-0.815936773,-0.306604298,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.2,444,None
116,-0.588970344,-0.667894884,-0.528015198,1.575790827,-0.431076632,-0.641826903,-0.197117053,0.962232404,-0.263605139,-0.351272592,1.175039865,-0.256148154,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.3,423,485
140,0.823766271,1.265741069,-0.20156645,-0.30466059,-0.431076632,3.121906043,-0.197117053,-0.629015021,-0.263605139,0.039632761,-0.815936773,0.944360116,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.3,512,None
205,-0.588970344,-0.667894884,-0.005697201,-0.30466059,-0.431076632,-0.641826903,0.335829054,-0.549452649,-0.263605139,-0.16130697,1.573235192,-0.28224616,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2.3,436,481
27,1.80689877,0.353648639,2.410023535,0.82361026,3.020240045,-0.641826903,-0.197117053,-0.629015021,-0.263605139,2.360720014,0.776844537,-0.256148154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.4,None,None
39,2.633060533,0.718485611,0.581910545,-0.30466059,5.129378015,-0.641826903,-0.197117053,-0.629015021,-0.263605139,0.405562554,1.274588696,-0.290945495,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.4,530,579
165,-0.299813727,0.426616033,-0.528015198,-0.30466059,-0.431076632,0.215467823,-0.197117053,1.121357146,-0.263605139,-0.538967708,-0.815936773,-0.28224616,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.48,None,None
28,-0.588970344,1.448159556,-0.397435699,-0.30466059,-0.316032743,-0.641826903,-0.197117053,-0.629015021,-0.263605139,-0.540481378,-0.417741445,-0.295295163,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.5,601,None
47,-0.506354167,-0.667894884,0.124882298,-0.116615448,-0.200988854,-0.641826903,-0.197117053,-0.629015021,-0.263605139,-0.004389817,1.175039865,-0.290945495,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.5,580,None
111,0.319807596,0.134746455,-0.33214595,-0.30466059,-0.431076632,-0.432730628,-0.197117053,-0.629015021,-0.263605139,-0.446255403,-0.855756305,-0.280506293,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.5,543,589
149,-0.299813727,-0.740862279,-0.528015198,-0.30466059,-0.431076632,1.449135845,-0.197117053,-0.629015021,-0.263605139,-0.355309046,-0.815936773,-0.203952142,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.5,550,None
4,0.055435832,0.280681244,-0.528015198,1.958217168,-0.431076632,-0.641826903,-0.197117053,-0.629015021,3.87305151,0.063283859,0.975942201,3.449768678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.52,520,None
1,0.055435832,-0.361431827,-0.528015198,1.958217168,-0.431076632,-0.641826903,-0.197117053,-0.629015021,3.87305151,0.063283859,0.975942201,3.449768678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.6,530,None
164,-0.299813727,1.068729104,-0.528015198,-0.30466059,-0.431076632,0.215467823,-0.197117053,1.121357146,-0.263605139,-0.538967708,-0.417741445,-0.290945495,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.6,553,592
166,-0.423737991,-0.682488363,-0.528015198,-0.30466059,-0.431076632,1.477015348,-0.197117053,1.121357146,-0.263605139,-0.351146453,-0.815936773,-0.295295163,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.6,547,None
206,1.253370388,1.448159556,-0.528015198,3.813776929,-0.431076632,-0.641826903,-0.197117053,-0.629015021,0.489266371,0.087817932,0.577746873,3.449768678,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.6,517,600
6,0.195883331,0.280681244,-0.528015198,-0.30466059,-0.431076632,-0.641826903,-0.197117053,-0.629015021,-0.098138874,-0.652556049,0.975942201,3.449768678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.61,610,None
5,0.055435832,0.280681244,-0.528015198,1.958217168,-0.431076632,-0.641826903,-0.197117053,-0.629015021,3.87305151,0.063283859,0.975942201,7.207881521,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.66,590,None
66,-0.093273286,-0.485476398,2.083574787,-0.30466059,0.374230592,-0.641826903,-0.197117053,-0.629015021,-0.263605139,1.85616325,0.975942201,-0.15175613,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.7,532,591
90,2.633060533,0.718485611,6.000959764,3.456242244,4.170678938,-0.641826903,-0.197117053,-0.629015021,-0.263605139,6.271034934,0.776844537,-0.273546824,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.7,500,None
199,-0.423737991,-0.631411187,-0.2668562,0.071429693,-0.431076632,-0.641826903,-0.197117053,-0.629015021,-0.263605139,-0.351272592,-0.218643781,-0.290945495,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.7,551,612
192,-0.299813727,0.441209512,-0.528015198,-0.30466059,-0.431076632,1.449135845,-0.197117053,1.121357146,-0.263605139,-0.355309046,-0.815936773,-0.28224616,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.8,509,None
